ID	positive	negative	획득 명성치	직업명	엔딩 텍스트																					
1041	근력+매력	마력	5	기사단장	"검을 든 자들을 하나로 이끌어낸 싱클레어 n세. 그가 이끌던 기사단은 해체된 후에도 그들은 서로를 형제로 불렀고, 그 유대는 끊이지 않았다. 싱클레어 n세는 늘 아쉬워했다. 마법까지 다룰 수 있었다면 더 많은 이들이 함께 했을지도 모른다."																					
1042	근력+매력	건강	5	기사단장	"검을 든 자들을 하나로 이끌어낸 싱클레어 n세. 그들은 서로를 형제로 불렀고, 그 유대는 끊이지 않았다. 하지만, 지속된 전투의 대가는 컸다. 결국 싱클레어 n세는 34세의 나이에 전우들보다 먼저 떠나게 되었다."																					
1043	근력+매력	지식	5	기사단장	"검을 든 자들을 하나로 이끌어낸 싱클레어 n세. 그가 이끌던 기사단은 해체된 후에도 그들은 서로를 형제로 불렀고, 그 유대는 끊이지 않았다. 명성을 바탕으로 훈련소를 차렸지만, 운영보다는 전장에 더 잘 어울리는 싱클레어 n세였다."																					
1044	근력+매력	?	6	기사단장	"검을 든 자들을 하나로 이끌어낸 싱클레어 n세. 그가 이끌던 기사단은 해체된 후에도 그들은 서로를 형제로 불렀고, 그 유대는 끊이지 않았다. 그가 떠난 후에도, 그 아래 맺어진 유대는 아직 남아 있다."																					
1051	마력+건강	근력	5	고위 신관	"싱클레어 n세는 도움이 필요한 사람들을 위해 험난한 길 위를 걸었다. 싱클레어 n세가 지나간 곳에 성소가 세워지며, 그들의 영원한 안식처가 되어주었다. 그러나 체력이 부족한 그는 성스러운 의식을 집행한 날이면 성소 한편에서 오래 쉬어야 했다."																					
1052	마력+건강	지식	5	고위 신관	"싱클레어 n세는 도움이 필요한 사람들을 위해 험난한 길 위를 걸었다. 싱클레어 n세가 지나간 곳에 성소가 세워지며, 그들의 영원한 안식처가 되어주었다. 경전을 외우지는 못했지만, 그의 기도에는 신의 숨결이 분명 들어있었다."																					
1053	마력+건강	매력	5	고위 신관	"싱클레어 n세는 도움이 필요한 사람들을 위해 험난한 길 위를 걸었다. 싱클레어 n세가 지나간 곳에 성소가 세워지며, 그들의 영원한 안식처가 되어주었다. 수 많은 이를 위로했지만, 정작 그를 위로한 사람은 드물었다."																					
1054	마력+건강	?	6	고위 신관	"싱클레어 n세는 도움이 필요한 사람들을 위해 험난한 길 위를 걸었다. 싱클레어 n세가 지나간 곳에 성소가 세워지며, 그들의 영원한 안식처가 되어주었다. 지금도 사람들은 그가 남긴 길 위에서 함께 기도를 올린다."																					
1061	마력+지식	근력	5	대현자	모두가 포기한 고서의 비밀을 끝까지 파고든 싱클레어 n세는 세상에서 잊혀진 고대 마법을 다시금 세상에 전했다. 싱클레어 n세가 남긴 연구는 마법사들의 교과서가 되었다. 반복된 밤샘 연구로 점점 몸이 약해진 싱클레어 n세는 결국 조용한 숲 속에서 요양하게 되었다.																					
1062	마력+지식	건강	5	대현자	"모두가 포기한 고서의 비밀을 끝까지 파고든 싱클레어 n세는 세상에서 잊혀진 고대 마법을 다시금 세상에 전했다. 싱클레어 n세가 남긴 연구는 마법사들의 교과서가 되었다. 하지만 무리한 연구는 그의 건강을 악화시켰고, 43세의 나이에 책을 덮게 되었다."																					
1063	마력+지식	매력	5	대현자	"모두가 포기한 고서의 비밀을 끝까지 파고든 싱클레어 n세는 세상에서 잊혀진 고대 마법을 다시금 세상에 전했다. 싱클레어 n세가 남긴 연구는 마법사들의 교과서가 되었다. 모두가 그의 지혜를 빌렸지만, 그의 마음을 이해한 이는 끝내 없었다."																					
1064	마력+지식	?	6	대현자	"모두가 포기한 고서의 비밀을 끝까지 파고든 싱클레어 n세는 세상에서 잊혀진 고대 마법을 다시금 세상에 전했다. 싱클레어 n세가 남긴 연구는 마법사들의 교과서가 되었다. 그가 적은 문장들은, 지금도 수 많은 마법사들에 의해 사용되고 있다."																					
1071	마력+매력	근력	5	소환술사	"싱클레어 n세는 다른 이들이 볼 수 없는 존재들과도 자연스럽게 대화를 나눴다. 싱클레어 n세의 곁에는 언제나 그들이 머물러 있었다. 하지만 지속된 소환술은 싱클레어 n세의 몸을 조금씩 무너뜨렸고, 그는 가끔씩 며칠 동안 말을 잃곤 했다."																					
1072	마력+매력	건강	5	소환술사	"싱클레어 n세는 다른 이들이 볼 수 없는 존재들과도 자연스럽게 대화를 나눴다. 싱클레어 n세의 곁에는 언제나 그들이 머물러 있었다. 반복된 소환에 마력은 점점 그를 잠식했고, 결국 그 또한 보이지 않는 존재가 되어버렸다."																					
1073	마력+매력	지식	5	소환술사	"싱클레어 n세는 다른 이들이 볼 수 없는 존재들과도 자연스럽게 대화를 나눴다. 싱클레어 n세의 곁에는 언제나 그들이 머물러 있었다. 하지만, 어리숙한 싱클레어 n세는 복잡한 소환의식에서 종종 실수하기도 했다."																					
1074	마력+매력	?	6	소환술사	싱클레어 n세는 다른 이들이 볼 수 없는 존재들과도 자연스럽게 대화를 나눴다. 싱클레어 n세의 곁에는 언제나 그들이 머물러 있었다. 																					
1081	건강+지식	근력	5	약술사	"병이 돌던 마을에 누군가는 들어가야 했다. 싱클레어 n세는 자신이 여정을 통해 얻은 약초와 지식을 꺼내 들었다. 싱클레어 n세가 머문 마을엔 다시 활기가 돌아왔다. 금세 지치는 몸이었지만, 그의 손은 사람들을 위해 언제나 약을 제조하곤 했다."																					
1082	건강+지식	마력	5	약술사	"병이 돌던 마을에 누군가는 들어가야 했다. 싱클레어 n세는 자신이 여정을 통해 얻은 약초와 지식을 꺼내 들었다. 싱클레어 n세가 머문 마을엔 다시 활기가 돌아왔다. 마법 없이 만든 약이었지만, 사람들은 싱클레어의 약 안에 기적이 들어있다 말하곤 했다."																					
1083	건강+지식	매력	5	약술사	"병이 돌던 마을에 누군가는 들어가야 했다. 싱클레어 n세는 자신이 여정을 통해 얻은 약초와 지식을 꺼내 들었다. 싱클레어 n세가 머문 마을엔 다시 활기가 돌아왔다. 그를 찾아오는 사람은 많았지만, 마지막엔 결국 가족만 곁에 남았다."																					
1084	건강+지식	?	6	약술사	병이 돌던 마을에 누군가는 들어가야 했다. 싱클레어 n세는 자신이 여정을 통해 얻은 약초와 지식을 꺼내 들었다. 싱클레어 n세가 머문 마을엔 다시 활기가 돌아왔다.																					
1091	건강+매력	근력	5	신탁자	"사람들은 앞날을 묻기 위해 싱클레어 n세를 찾았고, 그는 길지 않은 말 한마디로 방향을 제시해주었다. 그 말들이 많은 마을들의 운명을 바꾸곤 했다. 예언을 전한 뒤엔 늘 기력이 빠졌고, 종종 며칠씩 눈을 감은 채 보내곤 했다."																					
1092	건강+매력	마력	5	신탁자	"사람들은 앞날을 묻기 위해 싱클레어 n세를 찾았고, 그는 길지 않은 말 한마디로 방향을 제시해주었다. 그 말들이 많은 마을들의 운명을 바꾸곤 했다. 마력은 깨어나지 않았지만, 신은 싱클레어 n세를 통해 세상에 말을 전달했다."																					
1093	건강+매력	지식	5	신탁자	"사람들은 앞날을 묻기 위해 싱클레어 n세를 찾았고, 그는 길지 않은 말 한마디로 방향을 제시해주었다. 그 말들이 많은 마을들의 운명을 바꾸곤 했다. 입소문을 바탕으로 작은 사업을 시작했지만, 운영에는 그의 예언이 통하지 않았다."																					
1094	건강+매력	?	6	신탁자	"사람들은 앞날을 묻기 위해 싱클레어 n세를 찾았고, 그는 길지 않은 말 한마디로 방향을 제시해주었다. 그 말들이 많은 마을들의 운명을 바꾸곤 했다. 그가 영원히 잠들기 전까지 신은 늘 그와 함께였다."																					
1101	지식+매력	근력	5	재상	"검 한 번 들지 않고도 사람을 움직이던 싱클레어 n세. 그의 존재는 왕국에 긴 평화를 가져다 주었다. 하지만 체력은 따라주지 않았고, 희의 중 잠시 눈을 붙이는 일도 종종 있었다."																					
1102	지식+매력	마력	5	재상	"검 한 번 들지 않고도 사람을 움직이던 싱클레어 n세. 그의 존재는 왕국에 긴 평화를 가져다 주었다. 싱클레어 n세는 마법을 다룰 수 없었지만, 그의 한 마디에 마법사들조차 고개를 끄덕였다."																					
1103	지식+매력	건강	5	재상	"검 한 번 들지 않고도 사람을 움직이던 싱클레어 n세. 그의 존재는 왕국에 긴 평화를 가져다 주었다. 무거운 책임감은 싱클레어 n세의 건강을 조금씩 악화시켰고, 결국 41세의 나이에 조용히 자리를 내려놓았다."																					
1104	지식+매력	?	6	재상	"검 한 번 들지 않고도 사람을 움직이던 싱클레어 n세. 그의 존재는 왕국에 긴 평화를 가져다 주었다. 그가 떠난 후에도, 왕국은 그의 말 한마디를 원했다."																					
2011	근력	마력	3	검사	"모험을 통해 다양한 검술을 익히게 된 싱클레어 n세. 고향으로 돌아와 검술 학교를 세워 마을을 지킬 이들을 양성했다. 늦게 마법을 배워보려 했지만, 끝까지 손에 익은 건 검 한 자루 뿐이었다."																					
2012	근력	건강	3	검사	"모험을 통해 다양한 검술을 익히게 된 싱클레어 n세. 고향으로 돌아와 검술 학교를 세워 마을을 지킬 이들을 양성했다. 하지만 육신은 오래 버텨내지 못했고, 그는 50세의 나이에 마지막 수련을 마쳤다."																					
2013	근력	지식	3	검사	모험을 통해 다양한 검술을 익히게 된 싱클레어 n세. 고향으로 돌아와 검술 학교를 세워 마을을 지킬 이들을 양성했다. 하지만 체계적인 수업 계획은 그에겐 늘 어려운 숙제였다.																					
2014	근력	매력	3	검사	"모험을 통해 다양한 검술을 익히게 된 싱클레어 n세. 고향으로 돌아와 검술 학교를 세워 마을을 지킬 이들을 양성했다. 검을 배우려는 제자들은 끊이지 않았지만, 끝내 그의 곁에 친구라 부를 이는 없었다."																					
2015	근력	?	4	검사	모험을 통해 다양한 검술을 익히게 된 싱클레어 n세. 고향으로 돌아와 검술 학교를 세워 마을을 지킬 이들을 양성했다. 그가 전수한 검술은 지금도 마을을 수호하고 있다.																					
2021	마력	근력	3	마법사	"처음에는 기초 마법도 실패했지만, 포기하지 않았다. 결국 싱클레어 n세는 자신만의 마법을 완성했고, 그가 세운 작은 연구실은 지금도 그의 제자들로 붐빈다. 하지만 마법을 한 번 쓸 때마다 긴 휴식이 필요했고, 제자들은 그런 그를 '느린 마법사'로 부르기도 했다."																					
2022	마력	건강	3	마법사	"처음에는 기초 마법도 실패했지만, 포기하지 않았다. 결국 싱클레어 n세는 자신만의 마법을 완성했고, 그가 세운 작은 연구실은 지금도 그의 제자들로 붐빈다. 하지만 잔병치레가 잦았던 그는 46세에 조용히 눈을 감았다."																					
2023	마력	지식	3	마법사	"처음에는 기초 마법도 실패했지만, 포기하지 않았다. 결국 싱클레어 n세는 자신만의 마법을 완성했고, 그가 세운 작은 연구실은 지금도 그의 제자들로 붐빈다. 하지만, 그는 마법의 원리를 말로 표현하는 데 서툴었고 제자들은 감각으로 그의 마법을 익혀야 했다."																					
2024	마력	매력	3	마법사	"처음에는 기초 마법도 실패했지만, 포기하지 않았다. 결국 싱클레어 n세는 자신만의 마법을 완성했고, 그가 세운 작은 연구실은 지금도 그의 제자들로 붐빈다. 수많은 제자들이 그에게 마법을 배웠지만, 그와 진정으로 대화를 나누는 이는 없었다."																					
2025	마력	?	4	마법사	"처음에는 기초 마법도 실패했지만, 포기하지 않았다. 결국 싱클레어 n세는 자신만의 마법을 완성했고, 그가 세운 작은 연구실은 지금도 그의 제자들로 붐빈다. 지금도 연구실 한 켠에 그의 이름이 새겨져 있다."																					
2031	건강	근력	3	치유사	"모험에서 다친 싱클레어 n세. 의문의 치유사가 그에게 다가와 치료해주었다. 이후 치유계에 관심을 가진 싱클레어 n세는 고향에 돌아와 치유법을 연구하며, 사람들의 아픔을 돌보았다. 체력이 부족한 싱클레어 n세는 자주 지쳤지만, 늘 마지막 환자까지 돌본 뒤에야 몸을 눕혔다."																					
2032	건강	마력	3	치유사	"모험에서 다친 싱클레어 n세. 의문의 치유사가 그에게 다가와 치료해주었다. 이후 치유계에 관심을 가진 싱클레어 n세는 고향에 돌아와 치유법을 연구하며, 사람들의 아픔을 돌보았다. 싱클레어 n세는 마법은 쓰지 못했지만, 사람들은 그의 손 끝에서 기적이 일어난다고 말했다."																					
2033	건강	지식	3	치유사	"모험에서 다친 싱클레어 n세. 의문의 치유사가 그에게 다가와 치료해주었다. 이후 치유계에 관심을 가진 싱클레어 n세는 고향에 돌아와 치유법을 연구하며, 사람들의 아픔을 돌보았다. 전문적인 지식은 부족했지만, 그는 누구보다 먼저 손을 내미는 치유사였다."																					
2034	건강	매력	3	치유사	"모험에서 다친 싱클레어 n세. 의문의 치유사가 그에게 다가와 치료해주었다. 이후 치유계에 관심을 가진 싱클레어 n세는 고향에 돌아와 치유법을 연구하며, 사람들의 아픔을 돌보았다. 많은 이들의 상처를 어루만졌지만, 그의 마음을 살펴 주는 이들은 드물었다."																					
2035	건강	?	4	치유사	"모험에서 다친 싱클레어 n세. 의문의 치유사가 그에게 다가와 치료해주었다. 이후 치유계에 관심을 가진 싱클레어 n세는 고향에 돌아와 치유법을 연구하며, 사람들의 아픔을 돌보았다. 싱클레어 n세의 고향에서는 누군가 아프면 여전히 그의 이름을 부른다."																					
2041	지식	근력	3	학자	"학문에 대한 열정으로 모험을 시작한 싱클레어 n세. 그의 연구가 국왕에 눈에 띄었고, 그는 왕실 연구원으로 발탁되었다. 체력이 약했던 싱클레어 n세는, 종종 책상 앞에서 쓰러지곤 했다."																					
2042	지식	마력	3	학자	"학문에 대한 열정으로 모험을 시작한 싱클레어 n세. 그의 연구가 국왕에 눈에 띄었고, 그는 왕실 연구원으로 발탁되었다. 그러나 마법에 대해선 원리만 알 뿐, 끝내 직접 마법을 부릴 수는 없었다."																					
2043	지식	건강	3	학자	"학문에 대한 열정으로 모험을 시작한 싱클레어 n세. 그의 연구가 국왕에 눈에 띄었고, 그는 왕실 연구원으로 발탁되었다. 몸이 허약했던 싱클레어 n세는 52세에 마지막 기록을 남기고 조용히 눈을 감았다."																					
2044	지식	매력	3	학자	"학문에 대한 열정으로 모험을 시작한 싱클레어 n세. 그의 연구가 국왕에 눈에 띄었고, 그는 왕실 연구원으로 발탁되었다. 지식은 쌓여갔고 이름도 남았지만, 그의 곁엔 마음을 나눌 이가 없었다."																					
2045	지식	?	4	학자	"학문에 대한 열정으로 모험을 시작한 싱클레어 n세. 그의 연구가 국왕에 눈에 띄었고, 그는 왕실 연구원으로 발탁되었다. 그의 이름은 매해 왕립 아카데미에서 언급이 되곤 한다."																					
2051	매력	근력	3	외교관	모험 중 만난 수많은 이들과의 소통을 통해 화술을 갈고 닦은 싱클레어 n세. 그는 결국 왕국의 외교관으로 임명되었다. 하지만 건강이 좋지 않던 싱클레어 n세에게 장시간의 외교 일정은 무리였다.																					
2052	매력	마력	3	외교관	"모험 중 만난 수많은 이들과의 소통을 통해 화술을 갈고 닦은 싱클레어 n세. 그는 결국 왕국의 외교관으로 임명되었다. 그의 말은 마법같은 힘이 있었지만, 정작 마법은 쓸 수 없었다."																					
2053	매력	건강	3	외교관	"모험 중 만난 수많은 이들과의 소통을 통해 화술을 갈고 닦은 싱클레어 n세. 그는 결국 왕국의 외교관으로 임명되었다. 그러나 건강은 끝내 따라주지 않았고, 싱클레어 n세는 49세에 마지막 회담을 앞두고 생을 마감하였다."																					
2054	매력	지식	3	외교관	"모험 중 만난 수많은 이들과의 소통을 통해 화술을 갈고 닦은 싱클레어 n세. 그는 결국 왕국의 외교관으로 임명되었다. 외교 중으로 알게 된 물품으로 사업을 시작했지만,수익보다는 손해가 더 많았다."																					
2055	매력	?	4	외교관	모험 중 만난 수많은 이들과의 소통을 통해 화술을 갈고 닦은 싱클레어 n세. 그는 결국 왕국의 외교관으로 임명되었다. 그가 남긴 화술서가 아직도 전해지고 있다.																					
3011	상	?	7	선택받은 자	싱클레어 n세는 모든 무기를 다뤘으며 모든 것에 통달한 존재가 되었다. 그는 모두의 귀감이 되었으며 가장 뛰어난 영웅 중 한명으로 칭송받고 있다.																					S
3021	중	?	2	모험가	"마을 밖은 낯설고 위험했지만, 호기심이 컸던 싱클레어 n세는 모험을 멈추지 않았다. 이제는 소소한 취미가 된 모험. 덕분에 다양한 아이템들을 집으로 가져올 수 있게 되었다."																					
3031	하	?	1	평범한 가정	마을 밖은 생각보다 더 위험한 몬스터들이 존재했다. 싱클레어 n세는 모험가의 꿈을 접고 고향으로 돌아갔다. 남은 생 동안 가족들과 조용하고 평온한 삶을 살았다.	
